freezone,activity_code,activity_name,industry_group,keywords,approval_required,approval_authority,is_active
ANCFZ,7020008,Human Resources Consultancy,Administrative and Support Service Activities,"human resources consultancy, administrative and support service activities, services, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,7320001,Marketing Research Consultancies,Administrative and Support Service Activities,"marketing research consultancies, administrative and support service activities, services, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,7020024,Heritage Consulting,Administrative and Support Service Activities,"heritage consulting, administrative and support service activities, services, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,7490014,Immigration Service,Administrative and Support Service Activities,"immigration service, administrative and support service activities, services, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,7010001,Management Office,Administrative and Support Service Activities,"management office, administrative and support service activities, services, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,7810001,Labor Procurement Services (Bringing),Administrative and Support Service Activities,"labor procurement services (bringing), administrative and support service activities, services, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,7320002,Marketing Management,Administrative and Support Service Activities,"marketing management, administrative and support service activities, services, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,8219005,Documents Shredding Services,Administrative and Support Service Activities,"documents shredding services, administrative and support service activities, services, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,8220001,Call Center,Administrative and Support Service Activities,"call center, administrative and support service activities, services, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,7810001,Manpower Supply,Administrative and Support Service Activities,"manpower supply, administrative and support service activities, services, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,6311006,Data Entering,Administrative and Support Service Activities,"data entering, administrative and support service activities, services, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,7710009,Refrigerator Trucks Rental,Administrative and Support Service Activities,"refrigerator trucks rental, administrative and support service activities, services, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,6311008,Document and data validation services,Administrative and Support Service Activities,"document and data validation services, administrative and support service activities, services, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,7020039,Innovation & Artificial Intelligence Research & Consultancies,Administrative and Support Service Activities,"innovation & artificial intelligence research & consultancies, administrative and support service activities, services, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,8291007,Services for the collection of fees and payments,Administrative and Support Service Activities,"services for the collection of fees and payments, administrative and support service activities, services, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,7110938,"Drilling Engineering, Reservoir and Production Consultancy",Administrative and Support Service Activities,"drilling engineering, reservoir and production consultancy, administrative and support service activities, services, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,8219004,Documents Saving Services,Administrative and Support Service Activities,"documents saving services, administrative and support service activities, services, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,8299010,Home Delivery Services,Administrative and Support Service Activities,"home delivery services, administrative and support service activities, services, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,8211015,Project Management Services,Administrative and Support Service Activities,"project management services, administrative and support service activities, services, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,8299016,Visa Services,Administrative and Support Service Activities,"visa services, administrative and support service activities, services, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,8299002,Translation Services,Administrative and Support Service Activities,"translation services, administrative and support service activities, services, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,7020003,Management Consultancies,Administrative and Support Service Activities,"management consultancies, administrative and support service activities, freelancer, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,70200030,Management Consultancies,Administrative and Support Service Activities,"management consultancies, administrative and support service activities, freelancer, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,7110201,Interior Design Engineering Consultancy,Administrative and Support Service Activities,"interior design engineering consultancy, administrative and support service activities, pioneer, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,161003,Fighting Agricultural Epidemics,Agriculture,"fighting agricultural epidemics, agriculture, services, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,161002,Land Reclamation for Agricultural Purposes,Agriculture,"land reclamation for agricultural purposes, agriculture, services, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,7730026,Leasing Agricultural Equipment,Agriculture,"leasing agricultural equipment, agriculture, services, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,4711008,Agricultural Cooperative Marketing,Agriculture,"agricultural cooperative marketing, agriculture, services, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,7210002,Environmental Consultancy and Studies and Researches,Agriculture,"environmental consultancy and studies and researches, agriculture, services, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,7110922,Agricultural Research & Consultancy,Agriculture,"agricultural research & consultancy, agriculture, services, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,127001,Coffee Cultivation,Agriculture,"coffee cultivation, agriculture, services, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,113001,Vegetables and Pepo Cultivation,Agriculture,"vegetables and pepo cultivation, agriculture, services, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,122001,Palm Cultivation,Agriculture,"palm cultivation, agriculture, services, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,8130002,landscape and gardening services,Agriculture,"landscape and gardening services, agriculture, services, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,128101,Crops Cultivation from which Spices are Extracted,Agriculture,"crops cultivation from which spices are extracted, agriculture, services, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,141001,Cows Raising,Agriculture,"cows raising, agriculture, services, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,144001,Sheep Raising,Agriculture,"sheep raising, agriculture, services, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,146001,Poultry Birds Raising,Agriculture,"poultry birds raising, agriculture, services, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,149006,Honey Production,Agriculture,"honey production, agriculture, services, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,130005,Nurseries Management and Operation,Agriculture,"nurseries management and operation, agriculture, services, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,4312002,Land Drying Works,Agriculture,"land drying works, agriculture, services, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,8121003,"Insects, Rodents and Harmful Animals Control and Exterminating",Agriculture,"insects, rodents and harmful animals control and exterminating, agriculture, services, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,7020011,Plague Resisting Consultancy,Agriculture,"plague resisting consultancy, agriculture, services, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,7120023,Laboratory examinations of agricultural,Agriculture,"laboratory examinations of agricultural, agriculture, services, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,4669204,Wholesale of Agricultural and Veterinary Pesticides Trading -Import & Export,Agriculture,"wholesale of agricultural and veterinary pesticides trading -import & export, agriculture, commercial, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,4653001,Wholesale of Agricultural Machinery And Equipment And Outfit Trading -Import & Export,Agriculture,"wholesale of agricultural machinery and equipment and outfit trading -import & export, agriculture, commercial, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,4653002,Wholesale of Equipment and agricultural machinery and accessories Trading -Import & Export,Agriculture,"wholesale of equipment and agricultural machinery and accessories trading -import & export, agriculture, commercial, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,4653010,Wholesale of Irrigation Equipment and Devices and Outfit Trading -Import & Export,Agriculture,"wholesale of irrigation equipment and devices and outfit trading -import & export, agriculture, commercial, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,4653009,Wholesale of Agricultural Greenhouse Equipment And Outfit Trading -Import & Export,Agriculture,"wholesale of agricultural greenhouse equipment and outfit trading -import & export, agriculture, commercial, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,4653003,Number of trade and agricultural supplies - Wholesale,Agriculture,"number of trade and agricultural supplies - wholesale, agriculture, commercial, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,321003,Crustaceans Farm,Agriculture,"crustaceans farm, agriculture, commercial, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,4620201,Wholesale of Cows Trading - Import & Export,Agriculture,"wholesale of cows trading - import & export, agriculture, commercial, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,4669225,Wholesale of Natural Fertilizers and Agricultural Reclamation Material Trading -Import & Export,Agriculture,"wholesale of natural fertilizers and agricultural reclamation material trading -import & export, agriculture, commercial, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,4653009,Green Houses & Equipment Trading,Agriculture,"green houses & equipment trading, agriculture, commercial, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,130003,Indoor Decoration Plants and Seedlings (Nurseries) Cultivation,Agriculture,"indoor decoration plants and seedlings (nurseries) cultivation, agriculture, commercial, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,2821001,Agricultural Tractors Manufacturing,Agriculture,"agricultural tractors manufacturing, agriculture, industry, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,2021002,Agricultural Pests Pesticides Manufacturing,Agriculture,"agricultural pests pesticides manufacturing, agriculture, industry, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,2821004,Auto Irrigation Devices Manufacturing,Agriculture,"auto irrigation devices manufacturing, agriculture, industry, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,2012001,Organic Fertilizers Manufacturing,Agriculture,"organic fertilizers manufacturing, agriculture, industry, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,3290013,Artificial Plants & Flowers Making,Agriculture,"artificial plants & flowers making, agriculture, industry, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,4791005,Vehicles and transport means E-Trading,Automobile,"vehicles and transport means e-trading, automobile, e-commerce, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,2211003,TyresRebuilding,Automobile,"tyresrebuilding, automobile, industrial, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,2599904,Chain Manufacturing,Automobile,"chain manufacturing, automobile, industry, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,2710002,Engine Spare Parts Manufacturing and Installing,Automobile,"engine spare parts manufacturing and installing, automobile, industry, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,2816011,Conveyor and Transmission Belts Manufacturing,Automobile,"conveyor and transmission belts manufacturing, automobile, industry, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,2910001,Automobile Assembling,Automobile,"automobile assembling, automobile, industry, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,2930101,Radiator Manufacturing,Automobile,"radiator manufacturing, automobile, industry, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,2930108,Vehicles Additional Parts Manufacturing,Automobile,"vehicles additional parts manufacturing, automobile, industry, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,3091001,Motorcycles Manufacturing,Automobile,"motorcycles manufacturing, automobile, industry, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,3092001,Bicycles Manufacturing,Automobile,"bicycles manufacturing, automobile, industry, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,2930106,Break Pads Manufacturing,Automobile,"break pads manufacturing, automobile, industry, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,2710015,Electric Motors & Generators Manufacturing,Automobile,"electric motors & generators manufacturing, automobile, industry, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,2710007,Motors and Generators Assembling,Automobile,"motors and generators assembling, automobile, industry, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,2930109,manufacture of car seats,Automobile,"manufacture of car seats, automobile, industry, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,2211001,Rubber Tyres Manufacturing,Automobile,"rubber tyres manufacturing, automobile, industry, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,2651019,Radar Equipment Manufacturing,Automobile,"radar equipment manufacturing, automobile, industry, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,2520004,Light Military Weapons Manufacturing,Automobile,"light military weapons manufacturing, automobile, industry, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,2520003,Building of Military Ships,Automobile,"building of military ships, automobile, industry, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
ANCFZ,2520004,Military Ammunition Manufacturing,Automobile,"military ammunition manufacturing, automobile, industry, ancfz, ajman nuventures centre free zone, ajman free zone",false,,true
